ID,movie_title,class,year,runtime,rating,meta
tt6565702,X-Men: Dark Phoenix,PG-13,2019.0,113.0,5.8,43.0
tt3829266,The Predator,R,2018.0,107.0,5.3,48.0
tt3606756,Incredibles 2,PG,2018.0,118.0,7.6,80.0
tt0102685,Point Break,R,1991.0,122.0,7.3,58.0
tt0120903,X-Men,PG-13,2000.0,104.0,7.4,64.0
tt0364569,Oldboy,R,2003.0,120.0,8.4,77.0
tt1706620,Snowpiercer,R,2013.0,126.0,7.1,84.0
tt0317705,The Incredibles,PG,2004.0,115.0,8.0,90.0
tt1790864,The Maze Runner,PG-13,2014.0,113.0,6.8,57.0
tt2395427,Avengers: Age of Ultron,PG-13,2015.0,141.0,7.3,66.0
tt0090190,The Toxic Avenger,R,1984.0,82.0,6.3,42.0
tt5164214,Ocean's Eight,PG-13,2018.0,110.0,6.9,61.0
tt2094766,Assassin's Creed,PG-13,2016.0,115.0,5.7,36.0
tt0425112,Hot Fuzz,R,2007.0,121.0,7.8,81.0
tt0143145,The World Is Not Enough,PG-13,1999.0,128.0,6.4,57.0
tt0099423,Die Hard 2,R,1990.0,124.0,7.2,67.0
tt5700672,Train to Busan,Unrated,2016.0,118.0,7.6,72.0
tt10127684,Rogue City,TV-MA,2020.0,116.0,6.1,
tt0100802,Total Recall,R,1990.0,113.0,7.5,57.0
tt3799694,The Nice Guys,R,2016.0,116.0,7.4,70.0
tt8688634,21 Bridges,R,2019.0,99.0,6.6,51.0
tt7456310,Anna,R,2019.0,118.0,6.6,40.0
tt2283362,Jumanji: Welcome to the Jungle,PG-13,2017.0,119.0,6.9,58.0
tt2873282,Red Sparrow,R,2018.0,140.0,6.6,53.0
tt1185834,Star Wars: The Clone Wars,PG,2008.0,98.0,5.9,35.0
tt0232500,The Fast and the Furious,PG-13,2001.0,106.0,6.8,58.0
tt0266697,Kill Bill: Vol. 1,R,2003.0,111.0,8.1,69.0
tt2002718,Machete Kills,R,2013.0,107.0,5.6,41.0
tt8629748,Spenser Confidential,R,2020.0,111.0,6.2,49.0
tt1483013,Oblivion,PG-13,2013.0,124.0,7.0,54.0
tt3385516,X-Men: Apocalypse,PG-13,2016.0,144.0,6.9,52.0
tt0080745,Flash Gordon,PG,1980.0,111.0,6.5,58.0
